,contributor,season,city,climate_zone,building_type,gender,age,height_cm,weight_kg,thermal_sensation,thermal_acceptability,clothing_insulation,metabolic_rate,mean_radiant_temperature,pmv_ce,ppd_ce,ta_l,ta,ta_h,vel_l,vel,vel_h,rh,tg_l,tg,tg_h,to,year,country,coolingsys,latitude,longitude,class,vel_m,tg_m,DFilled,EFilled,PFilled,PMVFill,source
0,Dalian University of Technology,winter,"Hebei, Handan",Cold zone,residential,female,24.0,170.0,62.0,-1.0,1.0,1.1,1.0,20.9,-0.58,12.01,18.6,21.4,21.5,0.0,0.0,0.0,32.0,20.9,20.9,20.9,20.8,2019.0,china,Radiator heating,36.71329335,114.22376650091108,I,0.0,20.9,0.0,0.0,0.0,0.0,CN
10,Dalian University of Technology,winter,"Hebei, Handan",Cold zone,residential,female,55.5,163.0,60.0,0.0,1.0,1.62,1.0,24.5,0.57,11.88,20.7,22.5,23.5,0.0,0.0,0.0,28.0,24.5,24.5,24.5,23.4,2019.0,china,Radiator heating,36.71329335,114.22376650091108,I,0.0,24.5,0.0,0.0,0.0,0.0,CN
20,Dalian University of Technology,winter,"Hebei, Handan",Cold zone,residential,female,24.0,170.0,62.0,0.0,1.0,1.2,1.1,21.2,-0.22,6.05,18.6,20.2,21.7,0.0,0.0,0.0,30.0,21.2,21.2,21.2,20.7,2019.0,china,Radiator heating,36.71329335,114.22376650091108,I,0.0,21.2,0.0,0.0,0.0,0.0,CN
30,Dalian University of Technology,winter,"Henan, Zhengzhou",Cold zone,office,female,35.5,163.0,66.0,0.0,1.0,0.88,0.9,23.4,-1.05,28.6,20.7,21.5,23.8,0.0,0.0,0.0,26.0,23.4,23.4,23.4,22.6,2019.0,china,Convection heating,34.8007359,113.81658688850769,I,0.0,23.4,0.0,0.0,0.0,0.0,CN
40,Dalian University of Technology,winter,"Henan, Zhengzhou",Cold zone,office,female,45.5,156.0,50.0,1.0,1.0,1.92,1.0,24.0,0.78,18.04,21.0,22.6,24.6,0.0,0.0,0.0,28.0,24.0,24.0,24.0,23.4,2019.0,china,Convection heating,34.8007359,113.81658688850769,I,0.0,24.0,0.0,0.0,0.0,0.0,CN
50,Dalian University of Technology,winter,"Henan, Zhengzhou",Cold zone,office,male,35.5,181.9,86.4,1.0,1.0,0.82,1.0,23.2,-0.78,18.05,18.6,21.3,23.6,0.0,0.0,0.0,27.0,23.2,23.2,23.2,22.2,2019.0,china,Convection heating,34.8007359,113.81658688850769,I,0.0,23.2,0.0,0.0,50.0,0.0,CN
60,Dalian University of Technology,winter,"Henan, Zhengzhou",Cold zone,office,male,35.5,175.0,65.0,0.0,2.0,1.01,1.0,22.2,-0.72,16.08,16.4,19.6,24.1,0.0,0.0,0.0,30.0,22.2,22.2,22.2,21.1,2019.0,china,Convection heating,34.8007359,113.81658688850769,I,0.0,22.2,0.0,0.0,0.0,0.0,CN
70,Dalian University of Technology,winter,"Henan, Zhengzhou",Cold zone,office,female,24.0,162.0,53.0,-2.0,3.0,1.39,1.0,20.7,-0.49,10.13,15.8,18.5,20.5,0.0,0.0,0.0,30.0,20.7,20.7,20.7,19.5,2019.0,china,Convection heating,34.8007359,113.81658688850769,I,0.0,20.7,0.0,0.0,0.0,0.0,CN
80,Dalian University of Technology,winter,"Henan, Zhengzhou",Cold zone,office,male,24.0,175.0,66.0,-2.0,2.0,1.36,1.0,12.5,-2.14,82.97,10.2,11.3,12.7,0.0,0.0,0.0,46.0,12.5,12.5,12.5,11.9,2019.0,china,Convection heating,34.8007359,113.81658688850769,I,0.0,12.5,0.0,0.0,0.0,0.0,CN
90,Dalian University of Technology,winter,"Henan, Luoyang",Cold zone,office,female,45.5,181.9,86.4,1.0,1.0,0.94,1.2,18.3,-1.08,29.67,15.4,16.5,19.2,0.0,0.0,0.0,31.0,18.3,18.3,18.3,17.6,2019.0,china,Convection heating,34.6367974,112.3921623,I,0.0,18.3,0.0,0.0,50.0,0.0,CN
