,Unnamed: 0,contributor,city,climate_zone,building_type,thermal_sensation,country,latitude,longitude,koppen,ta,rh,clothing_insulation,year,vel,mean_radiant_temperature,coolingsys,season,pmv_ce,metabolic_rate,ppd_ce,to,age
0,0,Dalian University of Technology ,"Liaoning Province, Dalian City",Severe cold zone,Office,2.0,china,38.9152032,121.5591728,Dwa,30.0,53.0,0.35,2018.0,0.01,30.0,Convection cooling,Summer Season,1.59,1.2,55.97,30.0,18-30
30,30,Dalian University of Technology ,"Liaoning Province, Dalian City",Severe cold zone,Office,0.0,china,38.9152032,121.5591728,Dwa,30.2,54.0,0.4,2018.0,0.6,30.2,Convection cooling,Summer Season,1.25,1.2,37.91,30.2,18-30
60,60,Dalian University of Technology ,"Liaoning Province, Dalian City",Severe cold zone,Office,1.0,china,38.9152032,121.5591728,Dwa,30.1,64.0,0.4,2018.0,1.21,30.1,Convection cooling,Summer Season,1.11,1.2,31.22,30.1,18-30
90,90,Dalian University of Technology ,"Liaoning Province, Dalian City",Severe cold zone,Office,0.0,china,38.9152032,121.5591728,Dwa,28.3,56.0,0.4,2018.0,1.97,28.3,Convection cooling,Summer Season,-0.07,1.2,5.09,28.3,18-30
120,120,Dalian University of Technology ,"Liaoning Province, Dalian City",Severe cold zone,Office,1.0,china,38.9152032,121.5591728,Dwa,28.0,47.0,0.4,2018.0,0.35,28.0,Convection cooling,Summer Season,0.45,1.2,9.27,28.0,18-30
150,150,Dalian University of Technology ,"Liaoning Province, Dalian City",Severe cold zone,Office,-1.0,china,38.9152032,121.5591728,Dwa,27.7,51.0,0.4,2018.0,1.21,27.7,Convection cooling,Summer Season,-0.19,1.2,5.72,27.7,18-30
180,180,Dalian University of Technology ,"Liaoning Province, Dalian City",Severe cold zone,Office,0.0,china,38.9152032,121.5591728,Dwa,28.3,60.0,0.4,2018.0,1.97,28.3,Convection cooling,Summer Season,-0.03,1.2,5.02,28.3,18-30
210,210,Dalian University of Technology ,"Liaoning Province, Dalian City",Severe cold zone,Office,0.0,china,38.9152032,121.5591728,Dwa,27.5,53.0,0.35,2018.0,0.35,27.5,Convection cooling,Summer Season,0.18,1.2,5.66,27.5,18-30
240,240,Dalian University of Technology ,"Liaoning Province, Dalian City",Severe cold zone,Office,0.0,china,38.9152032,121.5591728,Dwa,27.9,57.0,0.34,2018.0,0.6,27.9,Convection cooling,Summer Season,0.1,1.2,5.22,27.9,18-30
270,270,Dalian University of Technology ,"Liaoning Province, Dalian City",Severe cold zone,Office,0.0,china,38.9152032,121.5591728,Dwa,27.7,51.0,0.4,2018.0,1.21,27.7,Convection cooling,Summer Season,-0.18,1.2,5.69,27.7,18-30
300,300,Dalian University of Technology ,"Liaoning Province, Dalian City",Severe cold zone,Office,0.0,china,38.9152032,121.5591728,Dwa,27.4,53.0,0.35,2018.0,0.01,27.4,Convection cooling,Summer Season,0.68,1.2,14.78,27.4,18-30
330,330,Dalian University of Technology ,"Liaoning Province, Dalian City",Severe cold zone,Office,0.0,china,38.9152032,121.5591728,Dwa,26.3,59.0,0.39,2018.0,0.6,26.3,Convection cooling,Summer Season,-0.44,1.2,9.08,26.3,18-30
360,360,Dalian University of Technology ,"Liaoning Province, Dalian City",Severe cold zone,Office,1.0,china,38.9152032,121.5591728,Dwa,26.4,48.0,0.35,2018.0,1.21,26.4,Convection cooling,Summer Season,-1.07,1.2,29.28,26.4,18-30
390,390,Dalian University of Technology ,"Liaoning Province, Dalian City",Severe cold zone,Office,-1.0,china,38.9152032,121.5591728,Dwa,26.2,49.0,0.4,2018.0,1.97,26.2,Convection cooling,Summer Season,-1.23,1.2,36.8,26.2,18-30
420,420,Dalian University of Technology ,"Liaoning Province, Dalian City",Severe cold zone,Office,0.0,china,38.9152032,121.5591728,Dwa,25.8,54.0,0.35,2018.0,0.6,25.8,Convection cooling,Summer Season,-0.85,1.2,20.36,25.8,18-30
450,450,Dalian University of Technology ,"Liaoning Province, Dalian City",Severe cold zone,Office,-2.0,china,38.9152032,121.5591728,Dwa,25.9,61.0,0.4,2018.0,1.21,25.9,Convection cooling,Summer Season,-0.98,1.2,25.46,25.9,18-30
480,480,Dalian University of Technology ,"Liaoning Province, Dalian City",Severe cold zone,Office,-2.0,china,38.9152032,121.5591728,Dwa,26.1,62.0,0.35,2018.0,1.97,26.1,Convection cooling,Summer Season,-1.47,1.2,49.24,26.1,18-30
510,510,Dalian University of Technology ,"Liaoning Province, Dalian City",Severe cold zone,Office,0.0,china,38.9152032,121.5591728,Dwa,25.5,59.0,0.37,2018.0,0.01,25.5,Convection cooling,Summer Season,0.1,1.2,5.19,25.5,18-30
540,540,Dalian University of Technology ,"Liaoning Province, Dalian City",Severe cold zone,Office,-1.0,china,38.9152032,121.5591728,Dwa,24.1,59.0,0.4,2018.0,0.6,24.1,Convection cooling,Summer Season,-1.36,1.2,43.45,24.1,18-30
570,570,Dalian University of Technology ,"Liaoning Province, Dalian City",Severe cold zone,Office,-2.0,china,38.9152032,121.5591728,Dwa,24.1,54.0,0.35,2018.0,1.21,24.1,Convection cooling,Summer Season,-2.2,1.2,85.15,24.1,18-30
600,600,Dalian University of Technology ,"Liaoning Province, Dalian City",Severe cold zone,Office,-3.0,china,38.9152032,121.5591728,Dwa,24.0,69.0,0.4,2018.0,1.97,24.0,Convection cooling,Summer Season,-2.24,1.2,86.34,24.0,18-30
630,630,Dalian University of Technology ,"Liaoning Province, Benxi City",Cold zone,Residential,0.0,china,41.28680535,123.75455862707396,Dwa,19.9,17.0,0.93,2019.0,0.1,19.9,Radiant floor heating,Winter Season,-1.24,1.0,37.17,19.9,41-50
660,660,Dalian University of Technology ,"Sichuan Province, Zigong City",Hot summer and cold winter zone,Residential,-2.0,china,29.3145785,104.8082504,Cwa,10.5,63.0,1.6,2019.0,0.1,10.5,Naturally Ventilated,Winter Season,-1.88,1.0,71.32,10.5,41-50
690,690,Harbin Institute of Technology ,"Heilongjiang Province, Harbin City",Cold zone,Residential,0.0,china,45.7593633,126.6276177,Dwa,22.0,53.0,0.77,2009.0,0.07,22.0,Naturally Ventilated,Transition Season,-1.29,0.9,40.19,22.0,54
720,720,Harbin Institute of Technology ,"Heilongjiang Province, Harbin City",Cold zone,Residential,1.0,china,45.7593633,126.6276177,Dwa,20.0,56.0,0.5,2009.0,0.05,20.0,Naturally Ventilated,Transition Season,-3.02,0.9,99.23,20.0,53
750,750,Harbin Institute of Technology ,"Heilongjiang Province, Harbin City",Cold zone,Residential,0.0,china,45.7593633,126.6276177,Dwa,24.2,37.0,0.47,2009.0,0.06,24.2,Naturally Ventilated,Transition Season,-1.43,0.9,47.11,24.2,44
780,780,Harbin Institute of Technology ,"Heilongjiang Province, Harbin City",Cold zone,Residential,1.0,china,45.7593633,126.6276177,Dwa,22.5,38.0,0.47,2009.0,0.04,22.5,Naturally Ventilated,Transition Season,-2.17,0.9,84.0,22.5,46
810,810,Harbin Institute of Technology ,"Heilongjiang Province, Harbin City",Cold zone,Residential,0.0,china,45.7593633,126.6276177,Dwa,20.2,50.0,0.47,2009.0,0.11,20.2,Naturally Ventilated,Transition Season,-3.12,0.9,99.53,20.2,27
840,840,Harbin Institute of Technology ,"Heilongjiang Province, Harbin City",Cold zone,Residential,1.0,china,45.7593633,126.6276177,Dwa,17.9,45.0,0.87,2009.0,0.08,17.9,Naturally Ventilated,Transition Season,-2.49,0.9,93.33,17.9,38
870,870,Harbin Institute of Technology ,"Heilongjiang Province, Harbin City",Cold zone,Residential,1.0,china,45.7593633,126.6276177,Dwa,22.1,55.0,0.8,2009.0,0.09,22.1,Naturally Ventilated,Transition Season,-1.17,0.9,33.74,22.1,47
900,900,Harbin Institute of Technology ,"Heilongjiang Province, Harbin City",Cold zone,Residential,1.0,china,45.7593633,126.6276177,Dwa,20.5,54.0,0.47,2009.0,0.04,20.5,Naturally Ventilated,Transition Season,-2.19,1.0,84.7,20.5,20
930,930,Harbin Institute of Technology ,"Heilongjiang Province, Harbin City",Cold zone,Residential,1.0,china,45.7593633,126.6276177,Dwa,22.7,38.0,0.47,2009.0,0.08,22.7,Naturally Ventilated,Transition Season,-2.08,0.9,80.49,22.7,44
960,960,Harbin Institute of Technology ,"Heilongjiang Province, Harbin City",Cold zone,Residential,0.0,china,45.7593633,126.6276177,Dwa,16.1,64.0,1.12,2009.0,0.03,16.1,Naturally Ventilated,Transition Season,-1.56,1.0,54.3,16.1,40
990,990,Harbin Institute of Technology ,"Heilongjiang Province, Harbin City",Cold zone,Residential,1.0,china,45.7593633,126.6276177,Dwa,18.0,46.0,0.55,2009.0,0.04,18.0,Naturally Ventilated,Transition Season,-3.71,0.9,99.99,18.0,43
1020,1020,Harbin Institute of Technology ,"Heilongjiang Province, Harbin City",Cold zone,Residential,1.0,china,45.7593633,126.6276177,Dwa,19.0,52.0,1.07,2009.0,0.04,19.0,Naturally Ventilated,Transition Season,-1.56,0.9,54.58,19.0,43
1050,1050,Harbin Institute of Technology ,"Heilongjiang Province, Harbin City",Cold zone,Residential,0.0,china,45.7593633,126.6276177,Dwa,23.7,53.0,0.47,2009.0,0.07,23.7,Radiator heating,Winter Season,-1.51,0.9,51.53,23.7,35
1080,1080,Harbin Institute of Technology ,"Heilongjiang Province, Harbin City",Cold zone,Residential,0.0,china,45.7593633,126.6276177,Dwa,23.3,42.0,0.7,2009.0,0.08,23.3,Radiator heating,Winter Season,-0.56,1.0,11.52,23.3,60
1110,1110,Harbin Institute of Technology ,"Heilongjiang Province, Harbin City",Cold zone,Residential,0.0,china,45.7593633,126.6276177,Dwa,24.2,27.0,0.72,2009.0,0.11,24.2,Radiator heating,Winter Season,-0.92,0.9,23.16,24.2,36
1140,1140,Harbin Institute of Technology ,"Heilongjiang Province, Harbin City",Cold zone,Residential,0.0,china,45.7593633,126.6276177,Dwa,21.7,40.0,0.57,2010.0,0.08,21.7,Radiator heating,Winter Season,-2.13,0.9,82.42,21.7,53
